AnalysisName,OriginalName,Age,Uncertainty,Reference,Mineral,Method,RockType,Lithology,Unit,Group,Easting,Northing,Datum,DataComment,locationEstimated,uncertaintyEstimated,year,lat,long,easting_quartile,northing_quartile,square
EL16-525,EL16-525,96.1,0.8,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,granodiorite,Ellery Lake granodiorite,"unassigned, Tioga Pass",304057.0,4200841.0,NAD27 11S,,False,False,2018,37.93403928085239,-119.2296304835468,3,3,16
HH16-522,HH16-522,96.4,1.1,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,porphyritic granodiorite,porphyritic granodiorite of Lake Vernon,Jack Main Canyon intrusive suite,258103.0,4209586.0,NAD27 11S,,False,False,2018,38.00170195446944,-119.75497939001852,0,3,4
TIOGA,TIOGA,101.0,1.5,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,monzodiorite,Tioga Lake monzodiorite,Tioga Pass hypabyssal complex,301629.0,4200112.0,NAD27 11S,,False,False,2018,37.926947290523366,-119.25703819521733,2,3,12
GP-2,GP-2,102.2,1.0,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,granodiorite,Illouette Creek granodiorite,Buena Vista Crest intrusive suite,269559.0,4172071.0,NAD27 11S,,False,False,2018,37.66691094447745,-119.61268713041913,1,1,6
IMP39-A,IMP39-A,104.2,1.2,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,Grizzly Peak porphyritic tonalite,granodiorite of Grizzly Creek,"unassigned, Iron Mountain area",278808.0,4149668.0,NAD27 11S,,False,False,2018,37.46744918719625,-119.50115908028401,1,1,6
HH16-518,HH16-518,109.9,1.1,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,granodiorite,Rancheria Mountain granodiorite,Yosemite Valley intrusive suite,256884.0,4205156.0,NAD27 11S,,False,False,2018,37.961495445088865,-119.76734853700302,0,3,4
IMP19,IMP19,120.1,2.2,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,star lks granodiorite,Star Lakes granodiorite,"unassigned, Iron Mountain area",278718.0,4153311.0,NAD27 11S,,False,False,2018,37.500233120286566,-119.50327085083761,1,1,6
IMP-45,IMP-45,123.0,1.4,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,SHUTEYE PEAK QTZ MONZO,Shuteye Peak quartz monzonite,Shaver Intrusive Suite,282298.0,4156503.0,NAD27 11S,,False,False,2018,37.529829077179784,-119.46375172087386,1,1,6
3-3,3-3,99.1,1.4,"Ardill et al., 2020",Zircon,spot analyses,Plutonic,granite,granite,"unassigned, Tioga Pass",300782.0,4198201.0,NAD27 11S,,False,False,2020,37.909551718222794,-119.26613994028808,2,3,12
TP-17,TP-17,99.5,1.6,"Ardill et al., 2020",Zircon,spot analyses,Hypabyssal,dacite porphyry,Tioga Pass dacite porphyry,Tioga Pass hypabyssal complex,301019.0,4199708.0,NAD27 11S,,False,False,2020,37.92317559057992,-119.26386210492198,2,3,12
KA-17,KA-17,100.0,1.3,"Ardill et al., 2020",Zircon,spot analyses,Hypabyssal,dacite porphyry,Tioga Pass dacite porphyry,Tioga Pass hypabyssal complex,301394.0,4198685.0,NAD27 11S,,False,False,2020,37.91404443205219,-119.25931668980454,2,3,12
BT-13,BT-13,100.3,0.9,"Ardill, 2020",Zircon,spot analyses,Hypabyssal,Beartrap porphyry,Beartrap porphyry,"unassigned, Beartrap Lake",278590.0,4229291.0,NAD27 11S,,False,False,2020,38.184358922128276,-119.52797775694575,1,3,8
IMP-48,IMP-48,118.6,1.2,"Ardill, 2020",Zircon,spot analyses,Plutonic,diorite,Iron Mountain diorite,"unassigned, Iron Mountain area",283558.0,4154561.0,NAD27 11S,,False,False,2020,37.51263718189681,-119.44893215751875,1,1,6
DL2,DL2,92.5,3.0,"Ardill, 2020; Memeti unpublished",Zircon,spot analyses,Plutonic,porphyry,Ireland Lake porphyry,"unassigned, Ritter Range pendant",296620.0,4184821.0,NAD27 11S,age younger than independent constraints from field relationships,False,False,2020,37.788133535814424,-119.30968456242978,2,2,11
JM-228 ,JM-228 ,94.9,0.6,"Ardill, 2020; Scheland unpublished",Zircon,spot analyses,Plutonic,two mica granite of Boundary Lake,Jack Main Canyon intrusive suite,Jack Main Canyon intrusive suite,254764.0,4215983.0,NAD27 11S,,False,False,2020,38.05839177405154,-119.79515510408284,0,3,4
JM-141 ,JM-141 ,95.1,0.9,"Ardill, 2020; Scheland unpublished",Zircon,spot analyses,Plutonic,transitional granodiorite of Boundary Lake,Jack Main Canyon intrusive suite,Jack Main Canyon intrusive suite,254110.0,4210850.0,NAD27 11S,,False,False,2020,38.01200684499578,-119.80083945702424,0,3,4
JM-282 ,JM-282 ,95.9,0.7,"Ardill, 2020; Scheland unpublished",Zircon,spot analyses,Plutonic,porphyritic granodiorite of Lake Vernon,Jack Main Canyon intrusive suite,Jack Main Canyon intrusive suite,260391.0,4215322.0,NAD27 11S,,False,False,2020,38.05394825188966,-119.73086623244382,0,3,4
JM-96 ,JM-96 ,96.8,0.5,"Ardill, 2020; Scheland unpublished",Zircon,spot analyses,Plutonic,coarse grained quartz diorite of Mount Gibson,Jack Main Canyon intrusive suite,Jack Main Canyon intrusive suite,263898.0,4213585.0,NAD27 11S,,False,False,2020,38.03923177075411,-119.69036450611759,0,3,4
JM-273 ,JM-273 ,97.0,0.7,"Ardill, 2020; Scheland unpublished",Zircon,spot analyses,Plutonic,porphyritic granodiorite of Lake Vernon,Jack Main Canyon intrusive suite,Jack Main Canyon intrusive suite,248495.0,4216401.0,NAD27 11S,,False,False,2020,38.060434225191045,-119.86667351992705,0,3,4
JM-361 ,JM-361 ,97.8,0.5,"Ardill, 2020; Scheland unpublished",Zircon,spot analyses,Plutonic,fine grained quartz diorite of Mount Gibson,Jack Main Canyon intrusive suite,Jack Main Canyon intrusive suite,267128.0,4211489.0,NAD27 11S,,False,False,2020,38.02119739785213,-119.6529143939573,0,3,4
JM-291 ,JM-291 ,98.3,0.6,"Ardill, 2020; Scheland unpublished",Zircon,spot analyses,Plutonic,equigranular granodiorite of Bearup Lake,Jack Main Canyon intrusive suite,Jack Main Canyon intrusive suite,261911.0,4214688.0,NAD27 11S,,False,False,2020,38.04864160382105,-119.71334962836971,0,3,4
JM-354 ,JM-354 ,102.6,0.4,"Ardill, 2020; Scheland unpublished",Zircon,spot analyses,Plutonic,granodiorite,Double Rock granodiorite,Yosemite Valley intrusive suite,264064.0,4207072.0,NAD27 11S,,False,False,2020,37.98063883623326,-119.68633272057671,0,3,4
VT15-17-b,VT15-17-b,101.27,0.49,"Attia et al., 2020",Zircon,spot analyses,Hypabyssal,hypabyssal dacite,Shadow Creek hypabyssal intrusions,Ritter Range pendant hypabbysal intrusions,310899.0,4173760.0,NAD27 11S,,False,False,2020,37.69157435946559,-119.14475592432844,3,2,15
VT17-2,VT17-2,101.3,0.9,"Attia et al., 2020",Zircon,spot analyses,Hypabyssal,hypabyssal rhyolite,Shadow Creek hypabyssal intrusions,Ritter Range pendant hypabbysal intrusions,310612.0,4173478.0,NAD27 11S,,False,False,2020,37.6889751423665,-119.14793564356665,3,1,14
VT17-4-b,VT17-4-b,124.2,6.9,"Attia et al., 2020",Zircon,spot analyses,Hypabyssal,hypabyssal andesite,Shadow Creek hypabyssal intrusions,Ritter Range pendant hypabbysal intrusions,311412.0,4173713.0,NAD27 11S,,False,False,2020,37.69125668504936,-119.13892911369138,3,1,14
HLA-51,HLA-51,94.7,1.7,"Attia et al., 2022",Zircon,spot analyses,Hypabyssal,hypabyssal andesite,Minarets caldera hypabyssal intrusions,Minarets caldera,308919.0,4165862.0,NAD27 11S,,False,False,2022,37.620026815618616,-119.1651305451326,3,1,14
HC18-AW-17,HC18-AW-17,95.1,0.6,"Attia et al., 2022",Zircon,spot analyses,Plutonic,granodiorite,Mount Givens marginal phase,Mount Givens Pluton,305900.0,4164272.0,NAD27 11S,,False,False,2022,37.60507345049178,-119.19889387103471,3,1,14
J17-568A,J17-568A,96.0,1.8,"Attia et al., 2022",Zircon,spot analyses,Plutonic,granodiorite,Aeolian Buttes granodiorite,"unassigned, June Lake area",312750.0,4188884.0,NAD27 11S,,False,False,2022,37.82817686339593,-119.12767546949128,3,2,15
J17-567,June17567,96.4,0.6,"Attia et al., 2022",Zircon,spot analyses,Plutonic,granite,June Lake granite,"unassigned, June Lake area",317971.0,4184010.0,NAD27 11S,,False,False,2022,37.78533179623034,-119.06716189315776,3,2,15
BL18-1,BL18-1,97.7,0.6,"Attia et al., 2022",Zircon,spot analyses,Plutonic,granodiorite at Bernice Lake,Red Devil Lake granodiorite,Washburn Lake intrusive suite,294425.0,4182310.0,NAD27 11S,,False,False,2022,37.765028933851355,-119.33388175891048,2,2,11
MuUN-JP01,JP01,86.64,0.79,"Bracciali et al., 2008*; Roland Mundil unpublished",Zircon,TIMS single grain,Plutonic,granite porphyry,Johnson Peak phase,Tuolumne Intrusive Suite,291557.0,4190787.0,NAD27 11S,*Bracciali et al. 2008 abstract reports this age as 87.7 +/- 1.1 Ma,False,False,2008,37.84071928742305,-119.36885499044529,2,3,12
BuMi08-BTL045,BTL045,87.0,0.7,Burgess and Miller 2008,Zircon,TIMS single grain,Plutonic,granodiorite,Cathedral Peak phase,Tuolumne Intrusive Suite,290035.0,4190524.0,NAD27 11S,,False,False,2008,37.83800178715587,-119.38606171404402,2,2,11
BuMi08-BTL056,BTL056,87.3,0.7,Burgess and Miller 2008,Zircon,TIMS single grain,Plutonic,granodiorite,Cathedral Peak phase,Tuolumne Intrusive Suite,286321.0,4189433.0,NAD27 11S,,False,False,2008,37.82731483744355,-119.4279112496808,2,2,11
EC382,382,96.7,1.4,"Cao, 2016",Zircon,spot analyses,Plutonic,granodiorite,Long Canyon pluton,"unassigned, Beartrap Lake",276935.0,4231019.0,NAD27 11S,,False,False,2016,38.19950905386064,-119.54739899138936,1,3,8
EC576,EC576,97.2,1.8,"Cao, 2016",Zircon,spot analyses,Plutonic,granodiorite,Bridgeport pluton,"unassigned, Twin Lakes area",293829.0,4231942.0,NAD27 11S,,False,False,2016,38.211847446988045,-119.3548942650804,2,3,12
EC 72,EC 72,98.7,2.5,"Cao, 2016",Zircon,spot analyses,Plutonic,leucogranite,leucogranitic dike,"unassigned, Twin Lakes area",293497.0,4233168.0,NAD27 11S,,False,False,2016,38.222811354295764,-119.35904003057738,2,3,12
EC286,EC286,100.3,1.2,"Cao, 2016",Zircon,spot analyses,Plutonic,porphyritic pluton,Beartrap porphyry,"unassigned, Beartrap Lake",278873.0,4230319.0,NAD27 11S,,False,False,2016,38.19368436825604,-119.52506919566461,1,3,8
Cec12-G22,G22,90.2,1.7,"Cecil et al., 2012",Zircon,spot analyses,Plutonic,granodiorite,Freel Peak,northern Sierra plutons,248431.0,4295706.0,NAD27 11S,,False,False,2012,38.77422755643939,-119.89578091039009,0,3,4
Cec12-G20,G20,101.7,1.5,"Cecil et al., 2012",Zircon,spot analyses,Plutonic,granodiorite,Caples Lake,northern Sierra plutons,231385.0,4288352.0,NAD27 11S,,False,False,2012,38.70302762525165,-120.08888389897882,0,3,4
Cec12-G19,G19,105.2,1.5,"Cecil et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Silver Lake,northern Sierra plutons,227299.0,4281923.0,NAD27 11S,,False,False,2012,38.643927191035374,-120.13327988403373,0,3,4
Cec12-G23,G23,106.8,1.9,"Cecil et al., 2012",Zircon,spot analyses,Plutonic,granodiorite,Freel Peak,northern Sierra plutons,252597.0,4294331.0,NAD27 11S,,False,False,2012,38.763029760145876,-119.8473897301971,0,3,4
Cec12-G21,G21,109.8,2.1,"Cecil et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Carson Pass,northern Sierra plutons,239550.0,4286936.0,NAD27 11S,,False,False,2012,38.69272603101864,-119.99458124310215,0,3,4
Cec12-G18,G18,121.5,1.3,"Cecil et al., 2012",Zircon,spot analyses,Plutonic,granodiorite,Bear River Reservoir,northern Sierra plutons,215474.0,4272922.0,NAD27 11S,,False,False,2012,38.55922662609508,-120.26527047692133,0,3,4
LFO-74H,LFO-74,88.25,3.0,"Chambers et al., 2020",Zircon,TIMS single grain,Plutonic,porphyritic granodiorite,transitional Cathedral Peak phase,Tuolumne Intrusive Suite,295766.0,4187112.0,NAD27 11S,"No error given, assume 3% uncertainty",False,True,2020,37.80857535901808,-119.32002127254037,2,2,11
CoGl97-YO94-28,YO94-28,85.4,0.1,"Coleman and Glazner, 1997",Zircon/Sphene,TIMS multigrain fraction,Plutonic,granite porphry,Johnson Peak phase,Tuolumne Intrusive Suite,291530.0,4190810.0,NAD27 11S,,False,False,1997,37.84092024113329,-119.36916822048109,2,3,12
CoGl97-YO94-20,YO94-20,88.1,0.2,"Coleman and Glazner, 1997",Zircon/Sphene,TIMS multigrain fraction,Plutonic,megacrystic granodiorite,Cathedral Peak phase,Tuolumne Intrusive Suite,285700.0,4192750.0,NAD27 11S,,False,False,1997,37.85703872983772,-119.4359442744364,2,3,12
CoGl97-YO94-21,YO94-21,91.0,1.0,"Coleman and Glazner, 1997",Zircon/Sphene,TIMS multigrain fraction,Plutonic,equigranular Half Dome Granodiorite,equigranular Half Dome phase,Tuolumne Intrusive Suite,281200.0,4187700.0,NAD27 11S,,False,False,1997,37.81049625319254,-119.48552482868963,1,2,7
CoGl97-YO94-23,YO94-23,95.0,1.0,"Coleman and Glazner, 1997",Zircon/Sphene,TIMS multigrain fraction,Plutonic,granodiorite,Sentinel Granodiorite,Sentinel Pluton,266900.0,4192650.0,NAD27 11S,,False,False,1997,37.85152530544538,-119.64940968935922,0,3,4
Cea04-HD02-102,HD02-102,88.8,1.3,"Coleman et al., 2004",Zircon,TIMS multigrain fraction,Plutonic,porphyritic granodiorite,porphyritic Half Dome phase,Tuolumne Intrusive Suite,298126.0,4199461.0,NAD27 11S,,False,False,2004,37.92031353976844,-119.29668319362784,2,3,12
Cea04-HD02-111,HD02-111,88.8,0.8,"Coleman et al., 2004",Zircon,TIMS multigrain fraction,Plutonic,porphyritic granodiorite,porphyritic Half Dome phase,Tuolumne Intrusive Suite,289783.0,4180011.0,NAD27 11S,,False,False,2004,37.743270210120095,-119.38587531290717,2,2,11
Cea04-HD01-2,HD01-2,90.6,0.6,"Coleman et al., 2004",Zircon,TIMS multigrain fraction,Plutonic,equigranular granodiorite,equigranular Half Dome phase,Tuolumne Intrusive Suite,275819.0,4180869.0,NAD27 11S,,False,False,2004,37.74768248153736,-119.54448653039923,1,2,7
Cea04-HD01-43,HD01-43,91.1,0.1,"Coleman et al., 2004",Zircon,TIMS multigrain fraction,Plutonic,equigranular granodiorite,equigranular Half Dome phase,Tuolumne Intrusive Suite,276872.0,4180443.0,NAD27 11S,,False,False,2004,37.744103921804054,-119.53241478169592,1,2,7
Cea04-HD01-49,HD01-49,91.7,0.2,"Coleman et al., 2004",Zircon,TIMS multigrain fraction,Plutonic,equigranular granodiorite,equigranular Half Dome phase,Tuolumne Intrusive Suite,273500.0,4180690.0,NAD27 11S,,False,False,2004,37.74549973184169,-119.57072752034317,1,2,7
Cea04-Y01-5,Y01-5,92.8,0.1,"Coleman et al., 2004",Zircon,TIMS multigrain fraction,Plutonic,equigranular granodiorite,equigranular Half Dome phase,Tuolumne Intrusive Suite,300748.0,4193450.0,NAD27 11S,,False,False,2004,37.86675673619664,-119.26521451935756,2,3,12
Cea04-KGA-1,KGA-1,93.1,0.1,"Coleman et al., 2004",Zircon,TIMS multigrain fraction,Plutonic,tonalite,Glen Aulin tonalite,Tuolumne Intrusive Suite,281023.0,4191473.0,NAD27 11S,,False,False,2004,37.84442835051112,-119.4886752423643,1,3,8
Cea04-HD01-35,HD01-35,93.5,0.7,"Coleman et al., 2004",Zircon,TIMS multigrain fraction,Plutonic,granodioritre,Kuna Crest phase,Tuolumne Intrusive Suite,300844.0,4197758.0,NAD27 11S,,False,False,2004,37.90557564324926,-119.26531280197014,2,3,12
Dea12-Km07-06,Km07-06,83.5,3.0,"Davis et al., 2012",Zircon,TIMS single and multi grain,Plutonic,granite,Mono Creek granite,John Muir Intrusive Suite,345992.0,4134187.0,NAD27 11S,"No error given, assume 3% uncertainty",False,True,2012,37.34161029684019,-118.73863049958797,3,1,14
Dea12-Mc-1,Mc-1,87.24,0.15,"Davis et al., 2012",Zircon,TIMS single and multi grain,Plutonic,granite,Mono Creek granite,John Muir Intrusive Suite,343387.0,4142647.0,NAD27 11S,,False,False,2012,37.41739525823856,-118.76981700182162,3,1,14
Dea12-Kle07-05,Kle07-05,88.76,0.06,"Davis et al., 2012",Zircon,TIMS single and multi grain,Plutonic,granodiorite,Lake Edison granodiorite,John Muir Intrusive Suite,342400.0,4125803.0,NAD27 11S,,False,False,2012,37.265470886671295,-118.77738456133598,3,0,13
Dea12-Rvp-2,Rvp-2,89.03,0.18,"Davis et al., 2012",Zircon,TIMS single and multi grain,Plutonic,granodiorite,Round Valley Peak granodiorite,John Muir Intrusive Suite,346752.0,4146780.0,NAD27 11S,,False,False,2012,37.455195159510914,-118.73266511383332,3,1,14
Dea12-Kl07-02,Kl07-02,93.46,0.07,"Davis et al., 2012",Zircon,TIMS single and multi grain,Plutonic,granodiorite,Lamarck granodiorite,John Muir Intrusive Suite,339488.0,4123721.0,NAD27 11S,,False,False,2012,37.24621552652843,-118.80976182605896,3,0,13
Dea12-32BRJ05,32BRJ05,93.92,0.18,"Davis et al., 2012",Zircon,TIMS single and multi grain,Plutonic,granodiorite,Lamarck granodiorite,John Muir Intrusive Suite,362265.0,4106205.0,NAD27 11S,,False,False,2012,37.092027664499795,-118.54981838787101,3,0,13
Dea12-Db04-06,Db04-06,94.01,0.2,"Davis et al., 2012",Zircon,TIMS single and multi grain,Plutonic,granodiorite,Lamarck granodiorite,John Muir Intrusive Suite,360325.0,4106675.0,NAD27 11S,,False,False,2012,37.09597552419389,-118.57172766802051,3,0,13
Dea12-Db05-04,Db05-04,94.08,0.17,"Davis et al., 2012",Zircon,TIMS single and multi grain,Plutonic,granodiorite,Lamarck granodiorite,John Muir Intrusive Suite,360565.0,4105611.0,NAD27 11S,,False,False,2012,37.08642368415,-118.56883023744271,3,0,13
Dea12-Db04-05,Db04-05,94.26,0.17,"Davis et al., 2012",Zircon,TIMS single and multi grain,Plutonic,granodiorite,Lamarck granodiorite,John Muir Intrusive Suite,362068.0,4106326.0,NAD27 11S,,False,False,2012,37.093089005389466,-118.5520565674484,3,0,13
Dea12-Dbk05-01,Dbk05-01,95.45,0.32,"Davis et al., 2012",Zircon,TIMS single and multi grain,Plutonic,quartz monzodiorite,Inconsolable quartz monzodiorite,John Muir Intrusive Suite,363123.0,4108385.0,NAD27 11S,,False,False,2012,37.11179742664576,-118.54056504166104,3,0,13
DoCa86-LE-36,LE-36,108.7,11.0,"Dodge and Calk, 1986",Zircon,multigrain fraction,Plutonic,tonalite,Tueeulala Falls tonalite,"unassigned, Hetch Hetchy area",255435.0,4203717.0,NAD27 11S,"No error given, assume 10% uncertainty but could be more or less",False,True,1986,37.94815211193365,-119.78333514649925,0,3,4
DoCa86-LE-31,LE-31,114.1,11.0,"Dodge and Calk, 1986",Zircon,multigrain fraction,Plutonic,tonalite,Poopenaut Valley pluton,Fine Gold Intrusive Suite,253859.0,4200061.0,NAD27 11S,"No error given, assume 10% uncertainty but could be more or less",False,True,1986,37.914814496360435,-119.80000199721931,0,3,4
DoCa86-LE-90,LE-90,115.3,12.0,"Dodge and Calk, 1986",Zircon,multigrain fraction,Plutonic,granodiorite,Hazel Green Ranch granodiorite,Fine Gold Intrusive Suite,243081.0,4183729.0,NAD27 11S,"No error given, assume 10% uncertainty but could be more or less",False,True,1986,37.76482372251067,-119.91666512597385,0,2,3
DoCa86-LE-1104,LE-1104,118.8,12.0,"Dodge and Calk, 1986",Zircon,multigrain fraction,Plutonic,tonalite,Poopenaut Valley pluton,Fine Gold Intrusive Suite,256297.0,4183327.0,NAD27 11S,"No error given, assume 10% uncertainty but could be more or less",False,True,1986,37.76482148534524,-119.76666097543416,0,2,3
Fea14-MG10-07,MG10-07,90.87,0.05,"Frazer et al., 2014",Zircon,TIMS single and multi grain,Plutonic,megacrystic granodiorite,megacrystic phase,Mount Givens Pluton,326455.0,4110138.0,NAD27 11S,,False,False,2014,37.12151121400655,-118.95347764752324,3,0,13
Fea14-MG10-08,MG10-08,91.03,0.06,"Frazer et al., 2014",Zircon,TIMS single and multi grain,Plutonic,aplitic granite,aplitic phase,Mount Givens Pluton,324813.0,4113448.0,NAD27 11S,,False,False,2014,37.15102462756426,-118.97272493492711,3,0,13
Fea14-MG10-04,MG10-04,91.45,2.25,"Frazer et al., 2014",Zircon,TIMS single and multi grain,Plutonic,megacrystic granodiorite,megacrystic phase,Mount Givens Pluton,296877.0,4145283.0,NAD27 11S,,False,False,2014,37.43210319024422,-119.29579030707406,2,1,10
Fea14-MG10-02,MG10-02,92.45,0.05,"Frazer et al., 2014",Zircon,TIMS single and multi grain,Plutonic,megacrystic granodiorite,megacrystic phase,Mount Givens Pluton,299199.0,4149974.0,NAD27 11S,,False,False,2014,37.47486006029378,-119.27084258411728,2,1,10
Fea14-MG10-03,MG10-03,92.72,0.08,"Frazer et al., 2014",Zircon,TIMS single and multi grain,Plutonic,aplitic granite,aplitic phase,Mount Givens Pluton,295611.0,4144723.0,NAD27 11S,,False,False,2014,37.42678087626388,-119.30993356079604,2,1,10
Fea14-MG11-03,MG11-03,94.64,0.05,"Frazer et al., 2014",Zircon,TIMS single and multi grain,Plutonic,granodiorite,equigranular phase,Mount Givens Pluton,290484.0,4140534.0,NAD27 11S,,False,False,2014,37.38790815937503,-119.36664477852841,2,1,10
Fea14-MG10-01,MG10-01,95.37,0.04,"Frazer et al., 2014",Zircon,TIMS single and multi grain,Plutonic,granodiorite,equigranular phase,Mount Givens Pluton,297905.0,4153116.0,NAD27 11S,,False,False,2014,37.502876372997015,-119.28632847238366,2,1,10
Fea14-MG11-02,MG11-02,95.54,0.07,"Frazer et al., 2014",Zircon,TIMS single and multi grain,Plutonic,megacrystic granodiorite,megacrystic phase,Mount Givens Pluton,312488.0,4131876.0,NAD27 11S,,False,False,2014,37.314631929184465,-119.11606575153678,3,0,13
Fea14-MG12-01,MG12-01,95.8,0.8,"Frazer et al., 2014",Zircon,TIMS single and multi grain,Plutonic,megacrystic granodiorite,megacrystic phase,Mount Givens Pluton,294235.0,4133295.0,NAD27 11S,,False,False,2014,37.32355062078238,-119.3222958791684,2,0,9
Fea14-MG11-01,MG11-01,95.84,0.06,"Frazer et al., 2014",Zircon,TIMS single and multi grain,Plutonic,granodiorite,equigranular phase,Mount Givens Pluton,316560.0,4132048.0,NAD27 11S,,False,False,2014,37.31699397244033,-119.07018359742005,3,0,13
Fea14-MG10-05,MG10-05,96.48,0.05,"Frazer et al., 2014",Zircon,TIMS single and multi grain,Plutonic,granodiorite,equigranular phase,Mount Givens Pluton,288608.0,4136087.0,NAD27 11S,,False,False,2014,37.347432467844484,-119.3865492828346,2,1,10
Fea14-MG11-04,MG11-04,97.92,0.06,"Frazer et al., 2014",Zircon,TIMS single and multi grain,Plutonic,megacrystic granodiorite,megacrystic phase,Mount Givens Pluton,283998.0,4149784.0,NAD27 11S,,False,False,2014,37.46972116691681,-119.44255583548696,1,1,6
FrMa88-p,p,97.5,10.0,"Frost and Mattinson, 1988",Zircon,multigrain fraction,Plutonic,quartz diorite,quartz diorite of Pine Lake,unassigned,346850.0,4135420.0,NAD27 11S,"No error given, assume 10% uncertainty but could be more or less",False,True,1988,37.35286129567237,-118.72920321082147,3,1,14
Lea12-Kdc-H,Kdc-H,101.5,1.2,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,granodiorite,Dinkey Creek granodiorite,Shaver Intrusive Suite,308649.0,4104104.0,NAD27 11S,,False,False,2012,37.06368637293888,-119.1522462695795,3,0,13
Lea12-1S40,1S40,105.0,2.4,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,275324.0,4100230.0,NAD27 11S,,False,False,2012,37.021408605512455,-119.52560985569113,1,0,5
Lea12-8S10,8S10,105.5,4.3,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,287045.0,4108665.0,NAD27 11S,,False,False,2012,37.10010836331707,-119.39634992100713,2,0,9
Lea12-1S91,1S91,105.5,3.5,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,280131.0,4120757.0,NAD27 11S,,False,False,2012,37.20740863605349,-119.47763980864458,1,0,5
Lea12-8S35,8S35,107.3,1.9,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,270877.0,4149687.0,NAD27 11S,,False,False,2012,37.46568860184653,-119.59076341723622,1,1,6
Lea12-8S14,8S14,107.5,3.5,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,277470.0,4106228.0,NAD27 11S,,False,False,2012,37.07593583501106,-119.50328188559219,1,0,5
Lea12-8S08,8S08,108.4,1.4,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,280222.0,4135700.0,NAD27 11S,,False,False,2012,37.34200006177281,-119.48103028515693,1,1,6
Lea12-8S11,8S11,109.6,2.0,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,302801.0,4096978.0,NAD27 11S,,False,False,2012,36.99828670272272,-119.21611159526549,2,0,9
Lea12-8S18,8S18,110.6,1.3,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,259591.0,4142469.0,NAD27 11S,,False,False,2012,37.39783474241044,-119.71589867154303,0,1,2
Lea12-8S28,8S28,111.8,2.0,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,248691.0,4139581.0,NAD27 11S,,False,False,2012,37.36894341443031,-119.83791991176622,0,1,2
Lea12-8S06,8S06,112.9,1.3,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,263498.0,4110295.0,NAD27 11S,,False,False,2012,37.109137119561645,-119.66158710075189,0,0,1
Lea12-1S94,1S94,113.6,1.8,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,granodiorite,Knowles granodiorite,Fine Gold Intrusive Suite,248558.0,4117991.0,NAD27 11S,,False,False,2012,37.17453374048573,-119.83212407387299,0,0,1
Lea12-1S90,1S90,114.0,2.4,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,285305.0,4119263.0,NAD27 11S,,False,False,2012,37.19515845289749,-119.41895383027223,2,0,9
Lea12-8S29,8S29,114.6,1.8,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,251629.0,4153523.0,NAD27 11S,,False,False,2012,37.49525337224926,-119.809470074043,0,1,2
Lea12-8S23,8S23,116.2,1.7,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,242394.0,4111636.0,NAD27 11S,,False,False,2012,37.115642884127645,-119.8992858878762,0,0,1
Lea12-8S03,8S03,116.9,1.2,"Lackey et al., 2012",Zircon,spot analyses,Plutonic,tonalite,Bass Lake pluton,Fine Gold Intrusive Suite,267883.0,4094990.0,NAD27 11S,,False,False,2012,36.97241294064807,-119.60756464398867,1,0,5
